name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;592;0;500;3081;1104;3081;1104;0
header;238;174;238;207;1919;207;1919;174
A;1064;245;1064;269;1085;269;1085;245
A;935;356;935;361;940;361;940;356
B;1074;902;1074;926;1093;926;1093;902
A;720;1278;720;1283;725;1283;725;1278
D;989;1367;989;1382;999;1382;999;1367
A;772;1457;772;1472;782;1472;782;1457
A;541;1499;541;1518;555;1518;555;1499
C;1073;1583;1073;1606;1092;1606;1092;1583
B;1049;1678;1049;1695;1060;1695;1060;1678
D;1075;2242;1075;2266;1095;2266;1095;2242
A;703;2389;703;2395;708;2395;708;2389
A;703;2405;703;2410;708;2410;708;2405
