name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;488;0;581;3085;1049;3085;1095;0
header;221;115;221;153;1913;153;1913;115
A;1054;188;1054;213;1076;213;1076;188
A;928;328;928;333;933;333;933;328
A;928;344;928;349;933;349;933;344
B;630;417;630;433;640;433;640;417
D;679;538;679;569;701;569;701;538
B;1051;845;1051;868;1069;868;1069;845
A;646;947;646;951;651;951;651;947
A;957;1036;957;1041;962;1041;962;1036
B;638;1126;638;1142;648;1142;648;1126
C;1041;1524;1041;1548;1060;1548;1060;1524
B;1011;1794;1011;1814;1026;1814;1026;1794
A;897;1853;897;1858;902;1858;902;1853
B;743;2148;743;2168;759;2168;759;2148
D;1032;2169;1032;2192;1053;2192;1053;2169
